INFO  - 2022-10-04 18:30:59.363; test; my message
WARN  - 2022-10-04 18:30:59.369; test; my message
INFO  - 2022-10-04 18:31:30.043; test; my message
WARN  - 2022-10-04 18:31:30.051; test; my message
INFO  - 2022-10-04 18:32:50.276; test; my message
WARN  - 2022-10-04 18:32:50.284; test; my message
INFO  - 2022-10-05 12:37:57.941; test; my message
WARN  - 2022-10-05 12:37:57.956; test; my message
INFO  - 2022-10-05 13:37:21.197; test; my message
WARN  - 2022-10-05 13:37:21.206; test; my message
ERROR - 2022-10-05 14:02:48.149; log.ttte; meassage
ERROR - 2022-10-05 14:03:44.400; log.ttte; meassage
INFO  - 2022-10-05 14:03:44.406; log.ttte; info
WARN  - 2022-10-05 14:03:44.406; log.ttte; war
INFO  - 2022-10-06 15:31:25.280; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 15:31:25.368; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 15:32:05.494; io.github.bonigarcia.wdm.WebDriverManager; Reading https://raw.githubusercontent.com/bonigarcia/webdrivermanager/master/docs/mirror/geckodriver to seek geckodriver
INFO  - 2022-10-06 15:32:06.274; io.github.bonigarcia.wdm.online.Downloader; Downloading https://github.com/mozilla/geckodriver/releases/download/v0.31.0/geckodriver-v0.31.0-win64.zip
INFO  - 2022-10-06 15:32:10.875; io.github.bonigarcia.wdm.online.Downloader; Extracting driver from compressed file geckodriver-v0.31.0-win64.zip
INFO  - 2022-10-06 15:32:10.944; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.gecko.driver as C:\Users\Hp\.cache\selenium\geckodriver\win64\0.31.0\geckodriver.exe
INFO  - 2022-10-06 15:36:29.925; io.github.bonigarcia.wdm.WebDriverManager; Reading https://raw.githubusercontent.com/bonigarcia/webdrivermanager/master/docs/mirror/selenium to seek IEDriverServer
INFO  - 2022-10-06 15:36:32.348; io.github.bonigarcia.wdm.online.Downloader; Downloading https://github.com/SeleniumHQ/selenium/releases/download/selenium-4.5.0/IEDriverServer_x64_4.5.0.zip
INFO  - 2022-10-06 15:36:38.400; io.github.bonigarcia.wdm.online.Downloader; Extracting driver from compressed file iedriverserver_x64_4.5.0.zip
INFO  - 2022-10-06 15:36:38.470; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.ie.driver as C:\Users\Hp\.cache\selenium\IEDriverServer\win64\4.5.0\IEDriverServer.exe
INFO  - 2022-10-06 17:55:46.511; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:55:46.551; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 17:56:55.612; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:56:55.682; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 17:57:44.559; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:57:44.617; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 17:58:19.444; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:58:19.507; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 17:58:44.520; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:58:44.581; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 17:59:25.559; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 17:59:25.614; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:01:54.208; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:01:54.280; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:02:34.856; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:02:34.915; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
INFO  - 2022-10-06 18:04:23.512; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 106.0.5249.61 (resolved driver for Chrome 106)
INFO  - 2022-10-06 18:04:23.568; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\Hp\.cache\selenium\chromedriver\win32\106.0.5249.61\chromedriver.exe
